









Frequency of observations in the selected location(s).:
Number of taxa: 	412

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Green-winged Teal	0.0108108	0.0	0.0190476	0.0285714	0.0325203	0.0092593	0.0084746	0.0	0.0095238	0.0	0.0070423	0.0	0.0076628	0.0412088	0.0511628	0.1104816	0.0697674	0.0206718	0.0104575	0.0093795	0.0116959	0.0172872	0.0096	0.0080537	0.0071942	0.0014065	0.0052724	0.006795	0.014827	0.0187793	0.0290102	0.0710059	0.032197	0.0382848	0.0485893	0.0292165	0.0380952	0.0311419	0.0553279	0.0622776	0.0261097	0.006079	0.0	0.0	0.0127389	0.0	0.0145985	0.0	
teal sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023256	0.0	0.0031008	0.001292	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002265	0.0032949	0.0031299	0.0153584	0.0248521	0.0018939	0.007657	0.0094044	0.0066401	0.0015873	0.0051903	0.0204918	0.0071174	0.002611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001292	0.0	0.001443	0.0	0.0	0.0016	0.0	0.0	0.0	0.0017575	0.0011325	0.0049423	0.0015649	0.0102389	0.0272189	0.0113636	0.0183767	0.0094044	0.0039841	0.0047619	0.0051903	0.0102459	0.0035587	0.002611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canvasback	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0056657	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0015674	0.002656	0.0	0.0017301	0.0	0.0035587	0.0052219	0.0030395	0.010989	0.0074074	0.0015	0.0060241	0.0072993	0.0	
Redhead	0.0	0.0	0.0190476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054945	0.0046512	0.0184136	0.020155	0.003876	0.0013072	0.0050505	0.0023392	0.0039894	0.0016	0.0015	0.0	0.0	0.0017575	0.002265	0.0032949	0.0015	0.003413	0.0035503	0.0018939	0.0061256	0.0203762	0.0385126	0.0238095	0.0363322	0.0614754	0.0498221	0.0261097	0.0303951	0.018315	0.0037037	0.0	0.0180723	0.0072993	0.0137931	
Ring-necked Duck	0.0162162	0.0	0.0	0.0	0.0081301	0.0	0.0	0.0	0.0	0.0	0.0070423	0.0243902	0.0804598	0.1428571	0.1372093	0.2096317	0.1705426	0.0645995	0.0091503	0.0036075	0.0011696	0.0066489	0.0096	0.0040268	0.0014388	0.0	0.0	0.002265	0.0015	0.0	0.003413	0.0011834	0.0075758	0.0045942	0.0031348	0.0092961	0.0095238	0.0224913	0.0307377	0.0266904	0.0078329	0.006079	0.010989	0.0037037	0.0015	0.0	0.0	0.0206897	
Greater Scaup	0.0054054	0.0015	0.0015	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0038314	0.0027473	0.0023256	0.0155807	0.0170543	0.0129199	0.0039216	0.001443	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015314	0.0015674	0.0225764	0.0047619	0.0207612	0.0471311	0.0498221	0.0287206	0.0243161	0.043956	0.0333333	0.0063694	0.0240964	0.0145985	0.0206897	
Lesser Scaup	0.0432432	0.0	0.0	0.0142857	0.0015	0.0	0.0	0.0142857	0.0	0.0087719	0.0070423	0.0121951	0.0076628	0.032967	0.0348837	0.0424929	0.0527132	0.0245478	0.0117647	0.001443	0.0015	0.0026596	0.0016	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0011834	0.0018939	0.0015314	0.0047022	0.0066401	0.0095238	0.0311419	0.0491803	0.0302491	0.0234987	0.0091185	0.029304	0.0074074	0.0318471	0.0120482	0.0145985	0.0068966	
Greater/Lesser Scaup	0.0108108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038314	0.0	0.0093023	0.0084986	0.0217054	0.0142119	0.0039216	0.0	0.0011696	0.0013298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015674	0.0119522	0.0031746	0.0103806	0.0307377	0.0391459	0.0104439	0.0151976	0.021978	0.0074074	0.0	0.0120482	0.0072993	0.0137931	
Aythya sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027473	0.0023256	0.0	0.0062016	0.001292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031348	0.002656	0.0047619	0.0051903	0.0143443	0.0106762	0.0	0.0015	0.0	0.0	0.0	0.0	0.0072993	0.0	
