









Frequency of observations in the selected location(s).:
Number of taxa: 	386

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	112.0	94.0	145.0	125.0	115.0	192.0	197.0	63.0	58.0	55.0	78.0	163.0	145.0	154.0	157.0	330.0	272.0	381.0	561.0	986.0	668.0	509.0	379.0	598.0	361.0	409.0	358.0	419.0	260.0	303.0	290.0	555.0	305.0	339.0	290.0	426.0	331.0	478.0	282.0	383.0	184.0	136.0	89.0	105.0	60.0	36.0	166.0	100.0	

dabbling duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012987	0.0063694	0.0060606	0.0073529	0.0026247	0.0	0.0	0.0	0.0019646	0.0	0.0	0.0	0.0	0.0	0.0023866	0.0038462	0.0033003	0.0034483	0.0	0.0	0.0058997	0.0068966	0.0046948	0.0060423	0.0062762	0.0070922	0.0052219	0.0054348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canvasback	0.0089286	0.0106383	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0122699	0.0413793	0.0584416	0.044586	0.0818182	0.0514706	0.0367454	0.0285205	0.0223124	0.005988	0.0039293	0.0079156	0.0015	0.0	0.0	0.0	0.0	0.0076923	0.0066007	0.0	0.0144144	0.0163934	0.0117994	0.0172414	0.0023474	0.0060423	0.0104603	0.0070922	0.0313316	0.0163043	0.0294118	0.0224719	0.0	0.0333333	0.0	0.0015	0.0	
Redhead	0.125	0.1276596	0.1172414	0.072	0.026087	0.0208333	0.0101523	0.0	0.0172414	0.0545455	0.2051282	0.3312883	0.2275862	0.2077922	0.1974522	0.2212121	0.1360294	0.0944882	0.0427807	0.015213	0.0149701	0.0058939	0.005277	0.0	0.0027701	0.002445	0.0055866	0.0071599	0.0115385	0.009901	0.0310345	0.0342342	0.0622951	0.0530973	0.1586207	0.2112676	0.244713	0.2615063	0.3687943	0.4412533	0.4782609	0.4191176	0.2808989	0.2666667	0.25	0.1388889	0.1927711	0.14	
Ring-necked Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0128205	0.1042945	0.0344828	0.1168831	0.1210191	0.1606061	0.0919118	0.0577428	0.0285205	0.0243408	0.0329341	0.0137525	0.0184697	0.0083612	0.0055402	0.00489	0.0055866	0.0119332	0.0076923	0.0033003	0.0034483	0.018018	0.0032787	0.0	0.0068966	0.0258216	0.0151057	0.0292887	0.0177305	0.0234987	0.0326087	0.0147059	0.0	0.0095238	0.0	0.0	0.0060241	0.01	
Greater Scaup	0.0	0.0106383	0.0015	0.008	0.0086957	0.0015	0.0	0.0	0.0	0.0	0.0384615	0.1226994	0.0896552	0.1428571	0.1719745	0.1393939	0.125	0.0498688	0.0249554	0.010142	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0038462	0.0	0.0	0.0	0.0	0.0147493	0.0448276	0.0680751	0.081571	0.0878661	0.1028369	0.0861619	0.1141304	0.0367647	0.0224719	0.0285714	0.0166667	0.0	0.0361446	0.0	
Lesser Scaup	0.0089286	0.0	0.0	0.0	0.0086957	0.0	0.0	0.0	0.0	0.0	0.025641	0.0736196	0.0551724	0.1233766	0.1592357	0.2030303	0.1507353	0.0682415	0.0552585	0.0212982	0.001497	0.0019646	0.0	0.0016722	0.0	0.00489	0.0	0.0047733	0.0	0.0	0.0	0.009009	0.0032787	0.0147493	0.0655172	0.084507	0.1238671	0.08159	0.1312057	0.0939948	0.1304348	0.0735294	0.0337079	0.0095238	0.0166667	0.0	0.0060241	0.0	
Greater/Lesser Scaup	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0245399	0.0206897	0.0779221	0.0764331	0.0909091	0.0772059	0.0419948	0.0106952	0.0020284	0.001497	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0033003	0.0	0.0018018	0.0	0.0029499	0.0	0.0187793	0.0332326	0.041841	0.0425532	0.0443864	0.0380435	0.0220588	0.0224719	0.0095238	0.0	0.0	0.0060241	0.01	
Aythya sp.	0.0	0.0212766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.025641	0.0490798	0.0551724	0.0779221	0.0509554	0.0181818	0.0183824	0.0052493	0.0017825	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036036	0.0032787	0.0	0.0172414	0.0446009	0.0543807	0.041841	0.0567376	0.0574413	0.0326087	0.0073529	0.0	0.0	0.0	0.0	0.0180723	0.0015	
Harlequin Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0	0.0063694	0.0	0.0	0.0026247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0130548	0.0108696	0.0	0.0	0.0	0.0166667	0.0277778	0.0	0.0	
Surf Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006135	0.0	0.0064935	0.0	0.0090909	0.0147059	0.0	0.0035651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018018	0.0	0.0029499	0.0	0.0164319	0.0392749	0.0585774	0.070922	0.0678851	0.0108696	0.0294118	0.0	0.0	0.0	0.0	0.0	0.0	
