species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Blue-winged Warbler,vagrant,irregular,0.004098,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-and-white Warbler,single-season,summer,0.292196,0.0,0.0,20,1,34-15,winter,No,
Prothonotary Warbler,vagrant,irregular,0.001353,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Tennessee Warbler,two-passage-migrant,two-passage,0.15245,0.0,0.0,20,2,20-30;35-16,summer|winter,No,classic_bimodal
Orange-crowned Warbler,vagrant,irregular,0.030853,0.0,0.0,9,3,0-16;20-34;38-46,winter|summer|winter,No,
Nashville Warbler,single-season,summer,0.319419,0.0,0.0,21,1,34-15,winter,No,
Connecticut Warbler,vagrant,irregular,0.014749,0.0,0.0,8,1,24-19,winter,No,
Mourning Warbler,single-season,summer,0.038462,0.0,0.0,18,1,34-16,winter,No,
Common Yellowthroat,single-season,summer,0.551495,0.0,0.0,21,1,36-16,winter,No,
American Redstart,single-season,summer,0.4682,0.0,0.0,21,1,34-16,winter,No,
Kirtland's Warbler,vagrant,irregular,0.002519,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cape May Warbler,two-passage-migrant,two-passage,0.110656,0.0,0.0,20,2,22-27;35-16,summer|winter,No,classic_bimodal
Northern Parula,single-season,summer,0.136116,0.0,0.0,19,1,33-15,winter,No,
Magnolia Warbler,single-season,summer,0.101633,0.0,0.0,19,1,36-16,winter,No,
Bay-breasted Warbler,two-passage-migrant,two-passage,0.038113,0.0,0.0,13,2,22-29;36-16,summer|winter,No,classic_bimodal|low_presence
Blackburnian Warbler,single-season,summer,0.139746,0.0,0.0,19,1,34-16,winter,No,
Northern Yellow Warbler,single-season,summer,0.471976,0.0,0.0,17,1,31-16,winter,No,
Chestnut-sided Warbler,single-season,summer,0.134301,0.0,0.0,18,1,30-16,winter,No,
Blackpoll Warbler,two-passage-migrant,two-passage,0.090744,0.0,0.0,13,2,20-29;36-17,summer|winter,No,classic_bimodal|low_presence
Black-throated Blue Warbler,single-season,summer,0.038348,0.0,0.0,18,1,35-16,winter,No,
Palm Warbler,two-passage-migrant,two-passage,0.166969,0.0,0.0,23,2,20-30;38-15,summer|winter,No,classic_bimodal
Pine Warbler,single-season,summer,0.365782,0.0,0.0,25,1,37-14,winter,No,
Yellow-rumped Warbler,single-season,summer,0.502722,0.0,0.0,28,1,39-13,winter,No,
Prairie Warbler,vagrant,irregular,0.001815,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-throated Green Warbler,single-season,summer,0.323049,0.0,0.0,22,1,33-15,winter,No,
Canada Warbler,single-season,summer,0.043302,0.0,0.0,19,1,35-17,winter,No,
Wilson's Warbler,two-passage-migrant,two-passage,0.056834,0.0,0.0,12,2,21-29;36-17,summer|winter,No,classic_bimodal|low_presence
Summer Tanager,vagrant,irregular,0.011194,0.0,0.0,2,1,18-16,winter,No,low_annual_presence
Scarlet Tanager,single-season,summer,0.039242,0.0,0.0,17,1,31-17,winter,No,
Northern Cardinal,resident,year-round,0.25,0.012097,0.0484,48,0,,,No,seasonal_variation|min_max_near_boundary
Rose-breasted Grosbeak,single-season,summer,0.110708,0.0,0.0,18,1,35-15,winter,No,
Indigo Bunting,two-passage-migrant,two-passage,0.144543,0.0,0.0,19,2,32-40;42-17,summer|winter,No,classic_bimodal
Dickcissel,vagrant,irregular,0.0059,0.0,0.0,5,1,23-21,winter,No,low_annual_presence
